Market,Ticket_Price_Name,Currency_Code,Inflation_Country_Name
Hong Kong,Hong Kong,HKD,Hong Kong SAR
India,India,INR,India
Indonesia,Indonesia,IDR,Indonesia
Japan,Japan,JPY,Japan
Malaysia,Malaysia,MYR,Malaysia
Philippines,Philippines,PHP,Philippines
Russia/CIS,Russia,RUB,Russian Federation
Singapore,Singapore,SGD,Singapore
South Korea,South Korea,KRW,"Korea, Republic of"
Taiwan,Taiwan,TWD,Taiwan Province of China
Thailand,Thailand,THB,Thailand
Vietnam,Vietnam,VND,Vietnam
Bolivia,Bolivia,BOB,Bolivia
Brazil,Brazil,BRL,Brazil
Dominican Republic,Dominican Republic,DOP,Dominican Republic
Ecuador,Ecuador,USD,Ecuador
Mexico,Mexico,MXN,Mexico
Peru,Peru,PEN,Peru
Uruguay,Uruguay,UYP,Uruguay
Venezuela,Venezuela,VEF,Venezuela
Austria,Austria,EUR,Austria
Bahrain,Bahrain,BHD,Bahrain
Belgium,Belgium,EUR,Belgium
Bulgaria,Bulgaria,BGL,Bulgaria
Croatia,Croatia,HRK,Croatia
Czech Republic,Czech Republic,CZK,Czech Republic
Denmark,Denmark,DKK,Denmark
Egypt,Egypt,EGP,Egypt
Estonia,Estonia,EUR,Estonia
Ethiopia,Ethiopia,ETB,Ethiopia
Finland,Finland,EUR,Finland
Germany,Germany,EUR,Germany
Ghana,Ghana,GHC,Ghana
Greece,Greece,EUR,Greece
Hungary,Hungary,HUF,Hungary
Iceland,Iceland,EUR,Iceland
Italy,Italy,EUR,Italy
Jordan,Jordan,JOD,Jordan
Kuwait,Kuwait,KWD,Kuwait
Latvia,Latvia,EUR,Latvia
Lithuania,Lithuania,EUR,Lithuania
Netherlands,Netherlands,EUR,Netherlands
Nigeria,Nigeria,NGN,Nigeria
Norway,Norway,NOK,Norway
Oman,Oman,OMR,Oman
Poland,Poland,PLN,Poland
Qatar,Qatar,QAR,Qatar
Romania,Romania,ROL,Romania
Slovakia,Slovakia,EUR,Slovak Republic
Slovenia,Slovenia,EUR,Slovenia
South Africa,South Africa,ZAR,South Africa
Spain,Spain,EUR,Spain
Sweden,Sweden,SEK,Sweden
Switzerland (German),Switzerland,CHF,Switzerland
Switzerland (Italian),Switzerland,CHF,Switzerland
Turkey,Turkey,TRY,Turkey
Ukraine,Ukraine,UAH,Ukraine
United Arab Emirates,United Arab Emirates,AED,United Arab Emirates
Australia,Australia,AUD,Australia
New Zealand,New Zealand,NZD,New Zealand
Argentina,Argentina,ARS,Argentina
Chile,Chile,CLP,Chile
Colombia,Colombia,COP,Colombia
France,France,EUR,France
Israel,Israel,ILS,Israel
Lebanon,Lebanon,LBP,Lebanon
Portugal,Portugal,EUR,Portugal
United Kingdom,United Kingdom,GBP,United Kingdom
Domestic,United States,USD,United States
Switzerland,Switzerland,CHF,Switzerland
Kenya,Kenya,KES,Kenya
China,China,CNY,"China, People's Republic of"
Puerto Rico,Puerto Rico,USD,Puerto Rico
Mongolia,Mongolia,MNT,Mongolia
Jamaica,Jamaica,JMD,Jamaica
Iraq,Iraq,IQD,Iraq
Russia,Russia,RUB,Russian Federation
Pakistan,Pakistan,PKR,Pakistan
Paraguay,Paraguay,PYG,Paraguay
Bangladesh,Bangladesh,BDT,Bangladesh
Sri Lanka,Sri Lanka,LKR,Sri Lanka
Aruba,Aruba,AWG,Aruba
Costa Rica,Costa Rica,CRC,Costa Rica
Honduras,Honduras,HNL,Honduras
Nicaragua,Nicaragua,NIO,Nicaragua
Panama,Panama,USD,Panama
Cyprus,Cyprus,EUR,Cyprus
Syria,Syria,SYP,Syria
Switzerland (French/Italian),Switzerland,CHF,Switzerland
Russia/CIS/Ukraine,Russia,RUB,Russian Federation
Ireland,Ireland,EUR,Ireland
Cambodia,Cambodia,KHR,Cambodia
Saudi Arabia,Saudi Arabia,SAR,Saudi Arabia
Albania,Albania,ALL,Albania
Morocco,Morocco,MAD,Morocco
Bosnia and Herzegovina,Bosnia and Herzegovina,BAM,Bosnia and Herzegovina
New Caledonia,New Caledonia,XPF,New Caledonia
Mauritius,Mauritius,MUR,Mauritius
Reunion,Reunion,EUR,Sub-Saharan Africa
Tunisia,Tunisia,TND,Tunisia
El Salvador,El Salvador,USD,El Salvador
Guatemala,Guatemala,GTQ,Guatemala
Malta,Malta,EUR,Malta
Iran,Iran,IRR,Iran
Canada,Canada,CAD,Canada
Laos,Laos,LAK,Lao P.D.R.
Central America,Belize,BZD,Central America
Central America,Costa Rica,CRC,Central America
Central America,El Salvador,USD,Central America
Central America,Guatemala,GTQ,Central America
Central America,Honduras,HNL,Central America
Central America,Nicaragua,NIO,Central America
Central America,Panama,USD,Central America
East Africa,Ethiopia,ETB,Africa (Region)
East Africa,Sudan,SDD,Africa (Region)
East Africa,Madagascar,MGA,Africa (Region)
East Africa,Mauritius,MUR,Africa (Region)
East Africa,Seychelles,SCR,Africa (Region)
East Africa,Uganda,UGX,Africa (Region)
East Africa,Rwanda,RWF,Africa (Region)
East Africa,Burundi,BIF,Africa (Region)
East Africa,Kenya,KES,Africa (Region)
East Africa,Tanzania,TZS,Africa (Region)
Greece and Cyprus,Greece,EUR,Greece
Greece and Cyprus,Cyprus,EUR,Greece
Serbia and Montenegro,Serbia,RSD,Russian Federation
Serbia and Montenegro,Montenegro,EUR,Russian Federation
Lesser Antilles,Barbados,BBD,Caribbean
Lesser Antilles,Grenada,XCD,Caribbean
Lesser Antilles,Saint Lucia,XCD,Caribbean
Lesser Antilles,Trinidad and Tobago,TTD,Caribbean
Central America+,Belize,BZD,Central America
