Release_ID,Market,Release Date,Opening,Gross
gr1940607493,Hong Kong,"Oct 15, 2009","$329,097","$891,570"
gr1940607493,India,"Sep 11, 2009","$247,761","$645,855"
gr1940607493,Indonesia,"Oct 7, 2009","$243,288","$639,473"
gr1940607493,Japan,"Sep 18, 2009","$403,458","$3,230,456"
gr1940607493,Malaysia,"Sep 10, 2009","$121,854","$481,525"
gr1940607493,Philippines,"Sep 30, 2009","$214,235","$532,926"
gr1940607493,Russia/CIS,"Sep 17, 2009","$2,152,730","$6,509,661"
gr1940607493,Singapore,"Sep 17, 2009","$359,278","$1,057,162"
gr1940607493,South Korea,"Sep 10, 2009","$16,458","$2,026,095"
gr1940607493,Taiwan,"Oct 2, 2009","$322,012","$2,151,035"
gr1940607493,Thailand,"Oct 8, 2009","$179,616","$403,384"
gr1940607493,Vietnam,"Oct 2, 2009","$43,129","$43,129"
gr1940607493,Bolivia,"Sep 24, 2009","$17,033","$68,849"
gr1940607493,Brazil,"Sep 18, 2009","$1,099,736","$7,286,581"
gr1940607493,Central America,"Sep 18, 2009","$108,052","$371,442"
gr1940607493,Dominican Republic,"Sep 10, 2009","$27,716","$121,284"
gr1940607493,Ecuador,"Sep 11, 2009","$62,157","$283,896"
gr1940607493,Mexico,"Sep 4, 2009","$903,379","$4,569,536"
gr1940607493,Peru,"Sep 10, 2009","$125,469","$610,439"
gr1940607493,Uruguay,"Sep 25, 2009","$20,478","$142,757"
gr1940607493,Venezuela,"Sep 18, 2009","$283,188","$2,010,193"
gr1940607493,Austria,"Oct 2, 2009","$656,631","$3,139,151"
gr1940607493,Bahrain,"Sep 24, 2009","$12,258","$70,345"
gr1940607493,Belgium,"Sep 23, 2009","$360,129","$1,541,791"
gr1940607493,Bulgaria,"Sep 25, 2009","$3,655","$228,662"
gr1940607493,Croatia,"Sep 17, 2009","$55,303","$289,413"
gr1940607493,Czech Republic,"Sep 17, 2009",–,"$491,058"
gr1940607493,Denmark,"Sep 4, 2009","$205,427","$1,045,497"
gr1940607493,East Africa,"Oct 16, 2009","$7,322","$40,655"
gr1940607493,Egypt,"Sep 23, 2009","$39,262","$206,681"
gr1940607493,Estonia,"Oct 9, 2009","$35,161","$167,141"
gr1940607493,Ethiopia,"Sep 25, 2009","$2,060","$5,132"
gr1940607493,Finland,"Sep 11, 2009",–,"$494,699"
gr1940607493,Germany,"Oct 1, 2009","$4,402,830","$15,389,786"
gr1940607493,Ghana,"Oct 9, 2009","$4,091","$15,948"
gr1940607493,Greece,"Oct 8, 2009","$556,138","$1,852,620"
gr1940607493,Greece and Cyprus,"Oct 22, 2009",–,–
gr1940607493,Hungary,"Oct 1, 2009","$188,444","$900,001"
gr1940607493,Iceland,"Sep 18, 2009","$40,402","$144,517"
gr1940607493,Italy,"Nov 27, 2009","$988,564","$3,210,325"
gr1940607493,Jordan,"Sep 24, 2009","$20,079","$47,471"
gr1940607493,Kuwait,"Sep 24, 2009",–,–
gr1940607493,Latvia,"Sep 27, 2009","$33,703","$221,846"
gr1940607493,Lithuania,"Sep 11, 2009","$35,788","$235,573"
gr1940607493,Netherlands,"Sep 30, 2009","$390,972","$1,835,456"
gr1940607493,Nigeria,"Oct 9, 2009","$20,687","$81,528"
gr1940607493,Norway,"Sep 4, 2009","$151,369","$720,097"
gr1940607493,Oman,"Sep 24, 2009","$4,558","$8,431"
gr1940607493,Poland,"Sep 4, 2009","$278,187","$1,026,532"
gr1940607493,Qatar,"Sep 24, 2009",–,–
