Release_Type,Movie_Name,Release_ID,Movie_ID
Original Release,Avengers: Endgame,gr3511898629,tt4154796
Original Release,Avatar,gr3486798341,tt0499549
2010 Special Edition,Avatar,gr3436466693,tt0499549
2011 Re-release,Avatar,gr3453243909,tt0499549
Original Release,Titanic,gr4195045893,tt0120338
2012 3D Release,Titanic,gr4211823109,tt0120338
2017 Re-release,Titanic,gr4161491461,tt0120338
Original Release,Star Wars: Episode VII - The Force Awakens,gr3305984517,tt2488496
Original Release,Avengers: Infinity War,gr3915469317,tt4154756
Original Release,Jurassic World,gr2960871941,tt0369610
Original Release,The Lion King,gr403788293,tt6105098
Original Release,The Avengers,gr1911837189,tt0848228
Original Release,Furious 7,gr2321306117,tt2820852
Original Release,Frozen II,gr1030181381,tt4520988
Original Release,Avengers: Age of Ultron,gr1743933957,tt2395427
Original Release,Black Panther,gr3458290181,tt1825683
Original Release,Harry Potter and the Deathly Hallows: Part 2,gr2033603077,tt1201607
Harry  Potter IMAX Marathon,Harry Potter and the Deathly Hallows: Part 2,gr2381926917,tt1201607
2016 Re-release,Harry Potter and the Deathly Hallows: Part 2,gr2117489157,tt1201607
2018 Re-release,Harry Potter and the Deathly Hallows: Part 2,gr2134266373,tt1201607
Original Release,Star Wars: Episode VIII - The Last Jedi,gr3764736517,tt2527336
Original Release,Jurassic World: Fallen Kingdom,gr3108917765,tt4881806
Original Release,Frozen,gr1177113093,tt2294629
Original Release,Beauty and the Beast,gr1429688837,tt2771200
Original Release,Incredibles 2,gr2507690501,tt3606756
Original Release,The Fate of the Furious,gr38949381,tt4630562
Original Release,Iron Man 3,gr3316142597,tt1300854
Original Release,Minions,gr838095365,tt2293640
Original Release,Captain America: Civil War,gr2136297989,tt3498820
Original Release,Aquaman,gr1903186437,tt1477834
Original Release,The Lord of the Rings: The Return of the King,gr1274302981,tt0167260
2005 Re-release,The Lord of the Rings: The Return of the King,gr1223971333,tt0167260
2011 Re-release,The Lord of the Rings: The Return of the King,gr1240748549,tt0167260
2017 Re-release,The Lord of the Rings: The Return of the King,gr1324634629,tt0167260
Original Release,Spider-Man: Far from Home,gr1825526277,tt6320628
Original Release,Captain Marvel,gr3085718021,tt4154664
Original Release,Transformers: Dark of the Moon,gr6312453,tt1399103
Original Release,Skyfall,gr2379174405,tt1074638
Original Release,Transformers: Age of Extinction,gr41374213,tt2109248
Original Release,The Dark Knight Rises,gr808210949,tt1345836
Original Release,Joker,gr4123480581,tt7286456
Original Release,Star Wars: The Rise Of Skywalker,gr2303480325,tt2527338
Original Release,Toy Story 4,gr2366394885,tt1979376
Original Release,Toy Story 3,gr87839237,tt0435761
Original Release,Pirates of the Caribbean: Dead Man's Chest,gr2621919749,tt0383574
Original Release,Rogue One: A Star Wars Story,gr384520709,tt3748528
Original Release,Aladdin,gr2669236741,tt6139732
Original Release,Pirates of the Caribbean: On Stranger Tides,gr2121159173,tt1298650
Original Release,Despicable Me 3,gr1982484997,tt3469046
Original Release,Jurassic Park,gr1932939781,tt0107290
2011 Re-release,Jurassic Park,gr1882608133,tt0107290
2013 Re-release,Jurassic Park,gr1899385349,tt0107290
2018 Re-release,Jurassic Park,gr1983271429,tt0107290
Original Release,Finding Dory,gr1869238789,tt2277860
Original Release,Star Wars: Episode I - The Phantom Menace,gr2130858501,tt0120915
2012 3D Release,Star Wars: Episode I - The Phantom Menace,gr2080526853,tt0120915
Star Wars: May the 4th Marathon,Star Wars: Episode I - The Phantom Menace,gr1174295045,tt0120915
Original Release,Alice in Wonderland,gr1992577541,tt1014759
Original Release,Zootopia,gr1680691717,tt2948356
Original Release,The Hobbit: An Unexpected Journey,gr769020421,tt0903624
Original Release,The Dark Knight,gr1144476165,tt0468569
2012 Re-release,The Dark Knight,gr1161253381,tt0468569
2018 Re-release,The Dark Knight,gr1513574917,tt0468569
Original Release,Harry Potter and the Sorcerer's Stone,gr2296795653,tt0241527
2004 Re-release,Harry Potter and the Sorcerer's Stone,gr2313572869,tt0241527
Harry  Potter IMAX Marathon,Harry Potter and the Sorcerer's Stone,gr2381926917,tt0241527
2016 Re-release,Harry Potter and the Sorcerer's Stone,gr2397458949,tt0241527
2016 Re-release,Harry Potter and the Sorcerer's Stone,gr2414236165,tt0241527
2018 Re-release,Harry Potter and the Sorcerer's Stone,gr2363904517,tt0241527
Original Release,Harry Potter and the Deathly Hallows: Part 1,gr1728664069,tt0926084
Harry  Potter IMAX Marathon,Harry Potter and the Deathly Hallows: Part 1,gr2381926917,tt0926084
2016 Re-release,Harry Potter and the Deathly Hallows: Part 1,gr1678332421,tt0926084
2018 Re-release,Harry Potter and the Deathly Hallows: Part 1,gr1695109637,tt0926084
Original Release,Despicable Me 2,gr3123335685,tt1690953
Original Release,The Lion King,gr1310020101,tt0110357
2002 IMAX Release,The Lion King,gr1326797317,tt0110357
2011 3D Release,The Lion King,gr1276465669,tt0110357
2016 Re-release,The Lion King,gr1293242885,tt0110357
2018 Re-release,The Lion King,gr1108693509,tt0110357
Original Release,The Jungle Book,gr1103385093,tt3040964
Original Release,Jumanji: Welcome to the Jungle,gr2130465285,tt2283362
2018 NCM Fathom Event,Jumanji: Welcome to the Jungle,gr134173189,tt2283362
Original Release,Pirates of the Caribbean: At World's End,gr1460621829,tt0449088
Original Release,The Hobbit: The Desolation of Smaug,gr1101746693,tt1170358
Original Release,The Hobbit: The Battle of the Five Armies,gr147673605,tt2310332
Original Release,The Lord of the Rings: The Two Towers,gr608064005,tt0167261
2003 Re-release,The Lord of the Rings: The Two Towers,gr624841221,tt0167261
2011 Re-release,The Lord of the Rings: The Two Towers,gr977162757,tt0167261
2017 Re-release,The Lord of the Rings: The Two Towers,gr993939973,tt0167261
Original Release,Harry Potter and the Order of the Phoenix,gr1575965189,tt0373889
Harry  Potter IMAX Marathon,Harry Potter and the Order of the Phoenix,gr2381926917,tt0373889
2016 Re-release,Harry Potter and the Order of the Phoenix,gr1391415813,tt0373889
2018 Re-release,Harry Potter and the Order of the Phoenix,gr1408193029,tt0373889
Original Release,Finding Nemo,gr1846039045,tt0266543
2012 3D Release,Finding Nemo,gr1862816261,tt0266543
Original Release,Harry Potter and the Half-Blood Prince,gr1638420997,tt0417741
Harry  Potter IMAX Marathon,Harry Potter and the Half-Blood Prince,gr2381926917,tt0417741
2016 Re-release,Harry Potter and the Half-Blood Prince,gr1722307077,tt0417741
2018 Re-release,Harry Potter and the Half-Blood Prince,gr1739084293,tt0417741
Original Release,Shrek 2,gr2524271109,tt0298148
Original Release,Bohemian Rhapsody,gr4107555333,tt1727824
Original Release,Harry Potter and the Goblet of Fire,gr1188188677,tt0330373
Harry  Potter IMAX Marathon,Harry Potter and the Goblet of Fire,gr2381926917,tt0330373
2016 Re-release,Harry Potter and the Goblet of Fire,gr1204965893,tt0330373
2018 Re-release,Harry Potter and the Goblet of Fire,gr1154634245,tt0330373
Original Release,Spider-Man 3,gr4067512837,tt0413300
Original Release,The Lord of the Rings: The Fellowship of the Ring,gr892686853,tt0120737
2003 Extended Edition,The Lord of the Rings: The Fellowship of the Ring,gr171266565,tt0120737
2011 Re-release,The Lord of the Rings: The Fellowship of the Ring,gr137712133,tt0120737
2017 Re-release,The Lord of the Rings: The Fellowship of the Ring,gr154489349,tt0120737
Original Release,Ice Age: Dawn of the Dinosaurs,gr3339866629,tt1080016
Original Release,Spectre,gr16273925,tt2379713
Original Release,Spider-Man: Homecoming,gr65032709,tt2250912
Original Release,Harry Potter and the Chamber of Secrets,gr433738245,tt0295297
Harry  Potter IMAX Marathon,Harry Potter and the Chamber of Secrets,gr2381926917,tt0295297
2016 Re-release,Harry Potter and the Chamber of Secrets,gr517624325,tt0295297
2018 Re-release,Harry Potter and the Chamber of Secrets,gr534401541,tt0295297
Original Release,Ice Age: Continental Drift,gr1428443653,tt1667889
Original Release,The Secret Life of Pets,gr4228141573,tt2709768
Original Release,Batman v Superman: Dawn of Justice,gr4182135301,tt2975590
Original Release,Wolf Warrior 2,gr3036500485,tt7131870
Original Release,Star Wars: Episode III - Revenge of the Sith,gr136008197,tt0121766
Star Wars: May the 4th Marathon,Star Wars: Episode III - Revenge of the Sith,gr1174295045,tt0121766
Original Release,The Hunger Games: Catching Fire,gr150950405,tt1951264
Original Release,Guardians of the Galaxy Vol. 2,gr388583941,tt3896198
Original Release,Inside Out,gr1952338437,tt2096673
Original Release,Venom,gr3586740741,tt1270797
Original Release,Thor: Ragnarok,gr197939717,tt3501632
Original Release,Transformers: Revenge of the Fallen,gr3638907397,tt1055369
Original Release,Inception,gr1400852997,tt1375666
2013 Re-release,Inception,gr1350521349,tt1375666
2017 Re-release,Inception,gr1367298565,tt1375666
Original Release,The Twilight Saga: Breaking Dawn - Part 2,gr267080197,tt1673434
Original Release,Spider-Man,gr695423493,tt0145487
Original Release,Spider-Man,gr2216710661,tt0145487
Original Release,Wonder Woman,gr1207325189,tt0451279
Original Release,Independence Day,gr3060158981,tt0116629
Original Release,Fantastic Beasts and Where to Find Them,gr3670495749,tt3183660
Original Release,Shrek the Third,gr3119469061,tt0413267
Original Release,Coco,gr2402243077,tt2380307
Original Release,Jumanji: The Next Level,gr2719109637,tt7975244
Original Release,Harry Potter and the Prisoner of Azkaban,gr694505989,tt0304141
Harry  Potter IMAX Marathon,Harry Potter and the Prisoner of Azkaban,gr2381926917,tt0304141
2016 Re-release,Harry Potter and the Prisoner of Azkaban,gr778392069,tt0304141
2018 Re-release,Harry Potter and the Prisoner of Azkaban,gr795169285,tt0304141
Original Release,Pirates of the Caribbean: Dead Men Tell No Tales,gr1009078789,tt1790809
Original Release,E.T. the Extra-Terrestrial,gr2980663813,tt0083866
1985 Re-release,E.T. the Extra-Terrestrial,gr3064549893,tt0083866
20th Anniversary,E.T. the Extra-Terrestrial,gr3081327109,tt0083866
Original Release,2012,gr1717588485,tt1190080
2012 Re-release,2012,gr1734365701,tt1190080
Original Release,Mission: Impossible - Fallout,gr248533509,tt4912910
Original Release,Indiana Jones and the Kingdom of the Crystal Skull,gr4259205637,tt0367882
Original Release,Spider-Man 2,gr2282115589,tt0316654
Original Release,Fast & Furious 6,gr1758810629,tt1905041
Original Release,Deadpool 2,gr262820357,tt5463162
Once Upon a Deadpool,Deadpool 2,gr212488709,tt5463162
Original Release,Deadpool,gr2532200965,tt1431045
Original Release,Star Wars: Episode IV - A New Hope,gr22499845,tt0076759
1982 Re-release,Star Wars: Episode IV - A New Hope,gr106385925,tt0076759
1997 Special Edition,Star Wars: Episode IV - A New Hope,gr123163141,tt0076759
Star Wars: May the 4th Marathon,Star Wars: Episode IV - A New Hope,gr3363262981,tt0076759
Original Release,Guardians of the Galaxy,gr2312655365,tt2015381
Original Release,The Da Vinci Code,gr1191531013,tt0382625
Original Release,Fast & Furious Presents: Hobbs & Shaw,gr423973381,tt6806448
Original Release,Maleficent,gr4064301573,tt1587310
Original Release,The Amazing Spider-Man,gr909332997,tt0948470
Original Release,The Hunger Games: Mockingjay - Part 1,gr3034403333,tt1951265
Original Release,Shrek Forever After,gr2889241093,tt0892791
Original Release,Madagascar 3: Europe's Most Wanted,gr3732754949,tt1277953
Original Release,Suicide Squad,gr457593349,tt1386697
Original Release,X-Men: Days of Future Past,gr2674807301,tt1877832
Original Release,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",gr3981726213,tt0363771
Original Release,Monsters University,gr620057093,tt1453405
Original Release,The Matrix Reloaded,gr2949468677,tt0234215
2003 IMAX Release,The Matrix Reloaded,gr2899137029,tt0234215
2019 Re-release,The Matrix Reloaded,gr2915914245,tt0234215
Original Release,Up,gr1190679045,tt1049413
Original Release,Ne Zha,gr3953807877,tt10627720
English Dub Re-release,Ne Zha,gr1101812229,tt10627720
Original Release,Gravity,gr1355043333,tt1454468
Original Release,Captain America: The Winter Soldier,gr952979973,tt1843866
Original Release,The Twilight Saga: Breaking Dawn - Part 1,gr205607429,tt1324999
Original Release,The Twilight Saga: New Moon,gr255414789,tt1259571
Original Release,The Twilight Saga: New Moon,gr1107841541,tt1259571
Original Release,Dawn of the Planet of the Apes,gr1446466053,tt2103281
Original Release,Transformers,gr1764905477,tt0418279
Original Release,The Amazing Spider-Man 2,gr1230590469,tt1872181
Original Release,It,gr1547719173,tt1396484
2019 Re-release,It,gr1564496389,tt1396484
Original Release,The Wandering Earth,gr2718781957,tt7605074
Original Release,The Twilight Saga: Eclipse,gr719868421,tt1325004
Original Release,Mission: Impossible - Ghost Protocol,gr2708492805,tt1229238
Original Release,The Hunger Games,gr947606021,tt1392170
Original Release,Moana,gr1742623237,tt3521164
