Rank,Title,Lifetime Gross,Year,Movie_ID
1,Avengers: Endgame,"$2,797,800,564",2019,tt4154796
2,Avatar,"$2,790,439,000",2009,tt0499549
3,Titanic,"$2,194,439,542",1997,tt0120338
4,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624",2015,tt2488496
5,Avengers: Infinity War,"$2,048,359,754",2018,tt4154756
6,Jurassic World,"$1,670,400,637",2015,tt0369610
7,The Lion King,"$1,656,943,394",2019,tt6105098
8,The Avengers,"$1,518,812,988",2012,tt0848228
9,Furious 7,"$1,515,047,671",2015,tt2820852
10,Frozen II,"$1,450,026,933",2019,tt4520988
11,Avengers: Age of Ultron,"$1,402,805,868",2015,tt2395427
12,Black Panther,"$1,346,913,161",2018,tt1825683
13,Harry Potter and the Deathly Hallows: Part 2,"$1,341,932,398",2011,tt1201607
14,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889",2017,tt2527336
15,Jurassic World: Fallen Kingdom,"$1,308,467,944",2018,tt4881806
16,Frozen,"$1,280,802,282",2013,tt2294629
17,Beauty and the Beast,"$1,263,521,126",2017,tt2771200
18,Incredibles 2,"$1,242,805,359",2018,tt3606756
19,The Fate of the Furious,"$1,236,005,118",2017,tt4630562
20,Iron Man 3,"$1,214,811,252",2013,tt1300854
21,Minions,"$1,159,398,397",2015,tt2293640
22,Captain America: Civil War,"$1,153,296,293",2016,tt3498820
23,Aquaman,"$1,148,461,807",2018,tt1477834
24,The Lord of the Rings: The Return of the King,"$1,142,219,401",2003,tt0167260
25,Spider-Man: Far from Home,"$1,131,927,996",2019,tt6320628
26,Captain Marvel,"$1,128,274,794",2019,tt4154664
27,Transformers: Dark of the Moon,"$1,123,794,079",2011,tt1399103
28,Skyfall,"$1,108,561,013",2012,tt1074638
29,Transformers: Age of Extinction,"$1,104,054,072",2014,tt2109248
30,The Dark Knight Rises,"$1,081,041,287",2012,tt1345836
31,Joker,"$1,074,251,311",2019,tt7286456
32,Star Wars: The Rise Of Skywalker,"$1,074,144,248",2019,tt2527338
33,Toy Story 4,"$1,073,394,593",2019,tt1979376
34,Toy Story 3,"$1,066,969,703",2010,tt0435761
35,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725",2006,tt0383574
36,Rogue One: A Star Wars Story,"$1,056,057,273",2016,tt3748528
37,Aladdin,"$1,050,693,953",2019,tt6139732
38,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802",2011,tt1298650
39,Despicable Me 3,"$1,034,799,409",2017,tt3469046
40,Jurassic Park,"$1,032,020,521",1993,tt0107290
41,Finding Dory,"$1,028,570,889",2016,tt2277860
42,Star Wars: Episode I - The Phantom Menace,"$1,027,082,707",1999,tt0120915
43,Alice in Wonderland,"$1,025,467,110",2010,tt1014759
44,Zootopia,"$1,023,784,195",2016,tt2948356
45,The Hobbit: An Unexpected Journey,"$1,017,003,568",2012,tt0903624
46,The Dark Knight,"$1,004,934,033",2008,tt0468569
47,Harry Potter and the Sorcerer's Stone,"$978,087,613",2001,tt0241527
48,Harry Potter and the Deathly Hallows: Part 1,"$976,920,103",2010,tt0926084
49,Despicable Me 2,"$970,766,005",2013,tt1690953
50,The Lion King,"$968,511,805",1994,tt0110357
51,The Jungle Book,"$966,550,600",2016,tt3040964
52,Jumanji: Welcome to the Jungle,"$962,102,237",2017,tt2283362
53,Pirates of the Caribbean: At World's End,"$960,996,492",2007,tt0449088
54,The Hobbit: The Desolation of Smaug,"$958,366,855",2013,tt1170358
55,The Hobbit: The Battle of the Five Armies,"$956,019,788",2014,tt2310332
56,The Lord of the Rings: The Two Towers,"$951,208,089",2002,tt0167261
57,Harry Potter and the Order of the Phoenix,"$942,044,510",2007,tt0373889
58,Finding Nemo,"$940,343,261",2003,tt0266543
59,Harry Potter and the Half-Blood Prince,"$934,326,396",2009,tt0417741
60,Shrek 2,"$928,760,770",2004,tt0298148
61,Bohemian Rhapsody,"$903,655,259",2018,tt1727824
62,Harry Potter and the Goblet of Fire,"$896,346,229",2005,tt0330373
63,Spider-Man 3,"$894,983,373",2007,tt0413300
64,The Lord of the Rings: The Fellowship of the Ring,"$887,832,826",2001,tt0120737
65,Ice Age: Dawn of the Dinosaurs,"$886,686,817",2009,tt1080016
66,Spectre,"$880,674,609",2015,tt2379713
67,Spider-Man: Homecoming,"$880,166,924",2017,tt2250912
68,Harry Potter and the Chamber of Secrets,"$879,465,594",2002,tt0295297
69,Ice Age: Continental Drift,"$877,244,782",2012,tt1667889
70,The Secret Life of Pets,"$875,457,937",2016,tt2709768
71,Batman v Superman: Dawn of Justice,"$873,634,919",2016,tt2975590
72,Wolf Warrior 2,"$870,325,439",2017,tt7131870
73,Star Wars: Episode III - Revenge of the Sith,"$868,390,560",2005,tt0121766
74,The Hunger Games: Catching Fire,"$865,011,746",2013,tt1951264
75,Guardians of the Galaxy Vol. 2,"$863,756,051",2017,tt3896198
76,Inside Out,"$857,611,174",2015,tt2096673
77,Venom,"$856,085,151",2018,tt1270797
78,Thor: Ragnarok,"$853,977,126",2017,tt3501632
79,Transformers: Revenge of the Fallen,"$836,303,693",2009,tt1055369
80,Inception,"$829,895,144",2010,tt1375666
81,The Twilight Saga: Breaking Dawn - Part 2,"$829,746,820",2012,tt1673434
82,Spider-Man,"$825,025,036",2002,tt0145487
83,Wonder Woman,"$821,847,012",2017,tt0451279
84,Independence Day,"$817,400,891",1996,tt0116629
85,Fantastic Beasts and Where to Find Them,"$814,037,575",2016,tt3183660
86,Shrek the Third,"$813,367,380",2007,tt0413267
87,Coco,"$807,082,196",2017,tt2380307
88,Jumanji: The Next Level,"$796,575,993",2019,tt7975244
89,Harry Potter and the Prisoner of Azkaban,"$796,093,802",2004,tt0304141
90,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794",2017,tt1790809
91,E.T. the Extra-Terrestrial,"$793,482,178",1982,tt0083866
92,2012,"$791,217,826",2009,tt1190080
93,Mission: Impossible - Fallout,"$791,115,104",2018,tt4912910
94,Indiana Jones and the Kingdom of the Crystal Skull,"$790,653,942",2008,tt0367882
95,Spider-Man 2,"$788,976,453",2004,tt0316654
96,Fast & Furious 6,"$788,679,850",2013,tt1905041
97,Deadpool 2,"$785,794,179",2018,tt5463162
98,Deadpool,"$782,612,155",2016,tt1431045
99,Star Wars: Episode IV - A New Hope,"$775,512,064",1977,tt0076759
100,Guardians of the Galaxy,"$772,776,600",2014,tt2015381
101,The Da Vinci Code,"$760,006,945",2006,tt0382625
102,Fast & Furious Presents: Hobbs & Shaw,"$759,056,935",2019,tt6806448
103,Maleficent,"$758,410,378",2014,tt1587310
104,The Amazing Spider-Man,"$757,930,663",2012,tt0948470
105,The Hunger Games: Mockingjay - Part 1,"$755,356,711",2014,tt1951265
106,Shrek Forever After,"$752,600,867",2010,tt0892791
107,Madagascar 3: Europe's Most Wanted,"$746,921,274",2012,tt1277953
108,Suicide Squad,"$746,846,894",2016,tt1386697
109,X-Men: Days of Future Past,"$746,045,700",2014,tt1877832
110,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115",2005,tt0363771
111,Monsters University,"$743,559,607",2013,tt1453405
112,The Matrix Reloaded,"$741,846,459",2003,tt0234215
113,Up,"$735,099,082",2009,tt1049413
