Currency_Code,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AED,,,,,,,,,,,,,,4.7619,4.7619,4.7619,4.7619,4.7619,4.747963,4.385978,3.996271,3.959045,3.961285,3.953072,3.903248,3.871211,3.815676,3.837067,4.326919,4.067089,3.998851,3.870916,3.432523,3.316936,3.405268,4.046254,3.889386,3.457248,4.05157,3.803902,3.797149,3.450535,3.453908,3.80078,4.059334,3.622519,4.025545,3.739528,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.672504,3.6725,3.6725,3.6725,3.6725,3.6725,3.672487,3.672506,3.672536,3.6725
ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.74891,105.56973,88.940656,87.215647,108.193244,164.682069,148.583304,150.927064,148.233516,145.293145,139.249374,121.814087,104.939982,99.869502,98.108794,90.298813,83.840407,94.842414,104.132004,100.904392,108.21773,105.671873,105.513237,125.94446,124.065664,119.00508,108.080629,109.919116,112.473485
ANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.781912,1.780554,1.77856,1.764111,1.759916,1.777675,1.786272,1.789951,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.790002,1.79,1.79,1.79,1.79,1.79,1.789987,1.790003,1.790018,1.79
AOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000003,0.000056,0.002588,0.132555,0.25326,0.387477,3.058983,10.953167,22.938295,40.701196,69.301984,84.919631,95.580668,75.578259,74.634676,74.571064,78.888519,91.791256,93.566355,95.213949,96.517007,98.322268,119.216047,162.84588,165.888205,252.49594,364.105772,524.426705
ARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000001,0.000007,0.000056,0.000085,0.000199,0.000965,0.044852,0.459198,1.052409,1.026506,1.033273,0.939012,0.940628,1.035003,1.105194,0.985897,1.095584,1.019166,0.999905,3.120529,2.959085,2.941283,2.920355,3.07387,3.115469,3.160485,3.730046,3.911666,4.127573,4.544477,5.471578,8.102889,9.247159,14.765348,16.550881,28.109931,48.22464,63.813592
AUD,,,,,,,,0.892857,0.892857,0.892857,0.892857,0.892857,0.892857,0.892857,0.892857,0.892857,0.892857,0.892857,0.880245,0.838817,0.706482,0.69771,0.765582,0.820246,0.902249,0.874149,0.894886,0.877888,0.870165,0.986967,1.110926,1.139877,1.431218,1.496312,1.427558,1.279904,1.265469,1.281368,1.284466,1.362283,1.472006,1.367306,1.349601,1.27814,1.348288,1.592027,1.550194,1.726292,1.93458,1.840417,1.54095,1.360434,1.312638,1.328186,1.194885,1.196204,1.279083,1.089419,0.969576,0.965948,1.036882,1.109236,1.332359,1.344874,1.305026,1.339015,1.439273,1.533421
AWG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.617357,1.660428,1.972976,1.896486,1.685773,1.975568,1.781883,1.780554,1.778591,1.764144,1.759916,1.777687,1.786245,1.789951,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.790002,1.79,1.79,1.79,1.79,1.79,1.789992,1.790003,1.790018,1.79
BAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35066,1.40618,1.478378,1.40667,1.523294,1.473198,1.47458,1.763956,1.767855,1.734891,1.657727,1.747355,1.780849
BBD,,,,,,,,1.71429,1.71429,1.71429,1.71429,1.71429,1.71429,1.71429,1.738099,2,2,2,1.974876,1.921281,1.959221,2.053231,2.018867,2,2,2,2,2.06997,2.357352,2.215794,2.178617,2.108916,1.870075,1.807102,1.855227,2.204442,2.118979,1.883546,2.207339,2.072406,2.068727,1.879888,1.881726,2.070706,2.211493,1.972781,2.192264,2.036503,2,2,2,2,2,2,2,2,2,2,2.000002,2,2,2,2,2,1.999991,2.000003,2.00002,2
BDT,,,,,,,,,,,,,,,,,,,7.868843,7.700184,7.849816,8.226002,12.18618,15.399169,15.3751,15.016117,15.551925,15.994718,21.200481,24.504333,26.813785,26.734662,26.175997,27.474191,28.709478,34.977059,34.18973,32.555965,40.390089,40.360897,40.926929,37.796792,37.896379,43.271709,48.533559,46.267294,53.804081,53.734627,56.527891,57.347707,58.171945,59.3846,64.1131,68.219549,68.790559,68.50216,68.7403,69.704022,74.060427,81.933531,78.173642,77.474609,77.817455,78.526167,81.248207,83.798646,84.425266,84.903071
BGL,,,,,,,,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00108,0.000979,0.00097,0.00097,,,,,,,,,,0.000963,0.000849,0.000807,0.000915,0.00089,0.002062,0.019632,0.024186,0.028542,0.050883,0.063199,0.184178,1.859732,1.736401,1.923707,2.123833,2.18581,2.075027,1.732407,1.574107,1.574633,1.559096,1.42923,1.336808,1.40618,1.478378,1.40667,1.523294,1.473198,1.47458,1.763956,1.767855,1.734891,1.657727,1.747355,1.780407
BGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.699558,1.574107,1.574633,1.559096,1.42923,1.336808,1.406179,1.478378,1.40667,1.523294,1.473196,1.474578,1.763956,1.767855,1.734763,1.657709,1.747329,1.780822
BHD,,,,,,,,,,,,,,0.47619,0.47619,0.47619,0.47619,0.47619,0.474796,0.438598,0.39963,0.39474,0.3955,0.395599,0.39565,0.387453,0.381618,0.39019,0.443182,0.416569,0.40958,0.396476,0.351574,0.339735,0.348783,0.414435,0.398368,0.354107,0.41498,0.389612,0.388921,0.353419,0.353764,0.389293,0.415761,0.370883,0.412146,0.382863,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376003,0.376001,0.376004,0.376
BIF,,,,,,,,50,50,50,50,50,84.375,87.5,87.5,87.5,87.5,87.5,87.5,87.5,80.026083,78.75,78.75,86.25,90,90,90,93.148644,106.080834,99.710716,101.249385,126.22831,112.850394,103.159418,114.619457,154.746342,168.105685,161.283703,200.329889,215.843873,251.122784,237.488657,234.987588,313.449605,389.610742,441.672009,617.738931,735.321932,822.08233,910.075876,1052.394855,1074.521149,1061.523629,999.623078,1078.009032,1170.963444,1214.324876,1224.991419,1229.109306,1394.65763,1542.88313,1545.991606,1563.624316,1620.302866,1724.259844,1781.203524,1846.440313,1896.522391
BOB,,,,,,,,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000013,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.000025,0.000029,0.000071,0.000252,0.003307,0.411444,1.736588,1.906106,2.590486,2.85181,2.987916,3.951808,4.041728,4.411647,4.343028,4.516464,5.254014,5.809878,5.435144,6.371167,6.337178,6.670675,7.17408,7.64543,7.940425,8.060164,7.997115,7.841203,7.227201,7.006106,7.011285,6.966015,6.909152,6.914635,6.907321,6.897119,6.891983,6.91499,6.91186,6.911977,6.90222
BRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000001,0.000028,0.000194,0.002024,0.039592,0.624765,0.902035,0.991811,1.075285,1.163312,1.818408,1.83254,2.371638,2.923056,3.09525,2.92559,2.430365,2.175091,1.946799,1.835024,1.995689,1.759308,1.673984,1.954152,2.15862,2.353535,3.339092,3.484095,3.190667,3.655838,3.944095,4.869341
BSD,,,,,,,,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.001701,1,1,1,1,1,1,1,1,1,1.034985,1.178676,1.107897,1.089308,1.054458,0.935038,0.903551,0.927613,1.102221,1.05949,0.941773,1.103669,1.036203,1.034364,0.939944,0.940863,1.035353,1.105747,0.986391,1.096132,1.018251,1,1,1,1,1,1,1,1,1,1,1.000001,1,1,1,1,1,0.999995,1.000002,1.00001,1
