Movie_ID,Member_Name,Role
tt4154796,Anthony Russo,Director
tt4154796,Joe Russo,Director
tt4154796,Christopher Markus,Writer
tt4154796,Stephen McFeely,Writer
tt4154796,Stan Lee,Writer
tt4154796,Jack Kirby,Writer
tt4154796,Joe Simon,Writer
tt4154796,Jack Kirby,Writer
tt4154796,Steve Englehart,Writer
tt4154796,Steve Gan,Writer
tt4154796,Bill Mantlo,Writer
tt4154796,Keith Giffen,Writer
tt4154796,Jim Starlin,Writer
tt4154796,Stan Lee,Writer
tt4154796,Larry Lieber,Writer
tt4154796,Jack Kirby,Writer
tt4154796,Steve Englehart,Writer
tt4154796,Don Heck,Writer
tt4154796,Kevin Feige,Producer
tt4154796,Alan Silvestri,Composer
tt4154796,Trent Opaloch,Cinematographer
tt4154796,Jeffrey Ford,Editor
tt4154796,Matthew Schmidt,Editor
tt4154796,Charles Wood,Production Designer
tt4154796,Robert Downey Jr.,Actor
tt4154796,Chris Evans,Actor
tt4154796,Mark Ruffalo,Actor
tt4154796,Chris Hemsworth,Actor
tt0499549,James Cameron,Director
tt0499549,James Cameron,Writer
tt0499549,James Cameron,Producer
tt0499549,Jon Landau,Producer
tt0499549,James Horner,Composer
tt0499549,Mauro Fiore,Cinematographer
tt0499549,James Cameron,Editor
tt0499549,John Refoua,Editor
tt0499549,Stephen E. Rivkin,Editor
tt0499549,Rick Carter,Production Designer
tt0499549,Robert Stromberg,Production Designer
tt0499549,Sam Worthington,Actor
tt0499549,Zoe Saldana,Actor
tt0499549,Sigourney Weaver,Actor
tt0499549,Michelle Rodriguez,Actor
tt0120338,James Cameron,Director
tt0120338,James Cameron,Writer
tt0120338,James Cameron,Producer
tt0120338,Jon Landau,Producer
tt0120338,James Horner,Composer
tt0120338,Russell Carpenter,Cinematographer
tt0120338,Conrad Buff IV,Editor
tt0120338,James Cameron,Editor
tt0120338,Richard A. Harris,Editor
tt0120338,Peter Lamont,Production Designer
tt0120338,Leonardo DiCaprio,Actor
tt0120338,Kate Winslet,Actor
tt0120338,Billy Zane,Actor
tt0120338,Kathy Bates,Actor
tt2488496,J.J. Abrams,Director
tt2488496,Lawrence Kasdan,Writer
tt2488496,J.J. Abrams,Writer
tt2488496,Michael Arndt,Writer
tt2488496,George Lucas,Writer
tt2488496,J.J. Abrams,Producer
tt2488496,Bryan Burk,Producer
tt2488496,Kathleen Kennedy,Producer
tt2488496,John Williams,Composer
tt2488496,Dan Mindel,Cinematographer
tt2488496,Maryann Brandon,Editor
tt2488496,Mary Jo Markey,Editor
tt2488496,Rick Carter,Production Designer
tt2488496,Darren Gilford,Production Designer
tt2488496,Daisy Ridley,Actor
tt2488496,John Boyega,Actor
tt2488496,Oscar Isaac,Actor
tt2488496,Domhnall Gleeson,Actor
tt4154756,Anthony Russo,Director
tt4154756,Joe Russo,Director
tt4154756,Christopher Markus,Writer
tt4154756,Stephen McFeely,Writer
tt4154756,Stan Lee,Writer
tt4154756,Jack Kirby,Writer
tt4154756,Joe Simon,Writer
tt4154756,Jack Kirby,Writer
tt4154756,Steve Englehart,Writer
tt4154756,Steve Gan,Writer
tt4154756,Bill Mantlo,Writer
tt4154756,Keith Giffen,Writer
tt4154756,Jim Starlin,Writer
tt4154756,Stan Lee,Writer
tt4154756,Larry Lieber,Writer
tt4154756,Jack Kirby,Writer
tt4154756,Steve Englehart,Writer
tt4154756,Don Heck,Writer
tt4154756,Jim Starlin,Writer
tt4154756,Kevin Feige,Producer
tt4154756,Alan Silvestri,Composer
tt4154756,Trent Opaloch,Cinematographer
tt4154756,Jeffrey Ford,Editor
tt4154756,Matthew Schmidt,Editor
tt4154756,Charles Wood,Production Designer
tt4154756,Robert Downey Jr.,Actor
tt4154756,Chris Hemsworth,Actor
tt4154756,Mark Ruffalo,Actor
tt4154756,Chris Evans,Actor
tt0369610,Colin Trevorrow,Director
tt0369610,Rick Jaffa,Writer
tt0369610,Amanda Silver,Writer
tt0369610,Colin Trevorrow,Writer
tt0369610,Derek Connolly,Writer
tt0369610,Rick Jaffa,Writer
tt0369610,Amanda Silver,Writer
tt0369610,Michael Crichton,Writer
tt0369610,Patrick Crowley,Producer
tt0369610,Frank Marshall,Producer
tt0369610,Michael Giacchino,Composer
tt0369610,John Schwartzman,Cinematographer
tt0369610,Kevin Stitt,Editor
tt0369610,Ed Verreaux,Production Designer
tt0369610,Chris Pratt,Actor
tt0369610,Bryce Dallas Howard,Actor
tt0369610,Ty Simpkins,Actor
tt0369610,Judy Greer,Actor
tt6105098,Jon Favreau,Director
tt6105098,Jeff Nathanson,Writer
tt6105098,Irene Mecchi,Writer
tt6105098,Jonathan Roberts,Writer
tt6105098,Linda Woolverton,Writer
tt6105098,Jon Favreau,Producer
tt6105098,Karen Gilchrist,Producer
tt6105098,Jeffrey Silver,Producer
tt6105098,Hans Zimmer,Composer
tt6105098,Caleb Deschanel,Cinematographer
tt6105098,Adam Gerstel,Editor
tt6105098,Mark Livolsi,Editor
tt6105098,James Chinlund,Production Designer
tt6105098,Donald Glover,Actor
tt6105098,Beyoncé,Actor
tt6105098,Seth Rogen,Actor
tt6105098,Chiwetel Ejiofor,Actor
tt0848228,Joss Whedon,Director
tt0848228,Joss Whedon,Writer
tt0848228,Zak Penn,Writer
tt0848228,Joss Whedon,Writer
tt0848228,Kevin Feige,Producer
tt0848228,Alan Silvestri,Composer
tt0848228,Seamus McGarvey,Cinematographer
tt0848228,Jeffrey Ford,Editor
tt0848228,Lisa Lassek,Editor
tt0848228,James Chinlund,Production Designer
tt0848228,Robert Downey Jr.,Actor
tt0848228,Chris Evans,Actor
tt0848228,Scarlett Johansson,Actor
tt0848228,Jeremy Renner,Actor
tt2820852,James Wan,Director
tt2820852,Chris Morgan,Writer
tt2820852,Gary Scott Thompson,Writer
tt2820852,Vin Diesel,Producer
tt2820852,Michael Fottrell,Producer
tt2820852,Neal H. Moritz,Producer
tt2820852,Brian Tyler,Composer
tt2820852,Marc Spicer,Cinematographer
tt2820852,Stephen F. Windon,Cinematographer
tt2820852,Leigh Folsom Boyd,Editor
tt2820852,Dylan Highsmith,Editor
tt2820852,Kirk M. Morri,Editor
tt2820852,Christian Wagner,Editor
tt2820852,Bill Brzeski,Production Designer
tt2820852,Vin Diesel,Actor
tt2820852,Paul Walker,Actor
tt2820852,Dwayne Johnson,Actor
tt2820852,Jason Statham,Actor
tt4520988,Chris Buck,Director
tt4520988,Jennifer Lee,Director
tt4520988,Jennifer Lee,Writer
tt4520988,Hans Christian Andersen,Writer
tt4520988,Jennifer Lee,Writer
tt4520988,Chris Buck,Writer
tt4520988,Marc Smith,Writer
tt4520988,Kristen Anderson-Lopez,Writer
tt4520988,Robert Lopez,Writer
tt4520988,Allison Schroeder,Writer
tt4520988,Peter Del Vecho,Producer
tt4520988,Christophe Beck,Composer
tt4520988,Jeff Draheim,Editor
tt4520988,Michael Giaimo,Production Designer
tt4520988,Lisa Keene,Production Designer
tt4520988,Kristen Bell,Actor
