Movie_ID,Movie_Name,US_Distributor,Budget,MPAA,Running_Time,Genre
tt4154796,Avengers: Endgame,Walt Disney Studios Motion Pictures,"$356,000,000",PG-13,3 hr 1 min,"Action, Adventure, Drama, Sci-Fi"
tt0499549,Avatar,Twentieth Century Fox,"$237,000,000",PG-13,2 hr 42 min,"Action, Adventure, Fantasy, Sci-Fi"
tt0120338,Titanic,Paramount Pictures,"$200,000,000",PG-13,3 hr 14 min,"Drama, Romance"
tt2488496,Star Wars: Episode VII - The Force Awakens,Walt Disney Studios Motion Pictures,"$245,000,000",PG-13,2 hr 18 min,"Action, Adventure, Sci-Fi"
tt4154756,Avengers: Infinity War,Walt Disney Studios Motion Pictures,,PG-13,2 hr 29 min,"Action, Adventure, Sci-Fi"
tt0369610,Jurassic World,Universal Pictures,"$150,000,000",PG-13,2 hr 4 min,"Action, Adventure, Sci-Fi"
tt6105098,The Lion King,Walt Disney Studios Motion Pictures,"$260,000,000",PG,1 hr 58 min,"Adventure, Animation, Drama, Family, Musical"
tt0848228,The Avengers,Walt Disney Studios Motion Pictures,"$220,000,000",PG-13,2 hr 23 min,"Action, Adventure, Sci-Fi"
tt2820852,Furious 7,Universal Pictures,"$190,000,000",PG-13,2 hr 17 min,"Action, Adventure, Thriller"
tt4520988,Frozen II,Walt Disney Studios Motion Pictures,"$150,000,000",PG,1 hr 43 min,"Adventure, Animation, Comedy, Family, Fantasy, Musical"
tt2395427,Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,"$250,000,000",PG-13,2 hr 21 min,"Action, Adventure, Sci-Fi"
tt1825683,Black Panther,Walt Disney Studios Motion Pictures,,PG-13,2 hr 14 min,"Action, Adventure, Sci-Fi"
tt1201607,Harry Potter and the Deathly Hallows: Part 2,Warner Bros.,,PG-13,2 hr 10 min,"Adventure, Drama, Fantasy, Mystery"
tt2527336,Star Wars: Episode VIII - The Last Jedi,Walt Disney Studios Motion Pictures,"$317,000,000",PG-13,2 hr 32 min,"Action, Adventure, Fantasy, Sci-Fi"
tt4881806,Jurassic World: Fallen Kingdom,Universal Pictures,"$170,000,000",PG-13,2 hr 8 min,"Action, Adventure, Sci-Fi"
tt2294629,Frozen,Walt Disney Studios Motion Pictures,"$150,000,000",PG,1 hr 42 min,"Adventure, Animation, Comedy, Family, Fantasy, Musical"
tt2771200,Beauty and the Beast,Walt Disney Studios Motion Pictures,"$160,000,000",PG,2 hr 9 min,"Family, Fantasy, Musical, Romance"
tt3606756,Incredibles 2,Walt Disney Studios Motion Pictures,,PG,1 hr 58 min,"Action, Adventure, Animation, Comedy, Family, Sci-Fi"
tt4630562,The Fate of the Furious,Universal Pictures,"$250,000,000",PG-13,2 hr 16 min,"Action, Adventure, Crime, Thriller"
tt1300854,Iron Man 3,Walt Disney Studios Motion Pictures,"$200,000,000",PG-13,2 hr 10 min,"Action, Adventure, Sci-Fi"
tt2293640,Minions,Universal Pictures,"$74,000,000",PG,1 hr 31 min,"Adventure, Animation, Comedy, Family, Sci-Fi"
tt3498820,Captain America: Civil War,Walt Disney Studios Motion Pictures,"$250,000,000",PG-13,2 hr 27 min,"Action, Adventure, Sci-Fi"
tt1477834,Aquaman,Warner Bros.,,PG-13,2 hr 23 min,"Action, Adventure, Fantasy, Sci-Fi"
tt0167260,The Lord of the Rings: The Return of the King,New Line Cinema,"$94,000,000",PG-13,3 hr 21 min,"Adventure, Drama, Fantasy"
tt6320628,Spider-Man: Far from Home,Sony Pictures Releasing,"$160,000,000",PG-13,2 hr 9 min,"Action, Adventure, Sci-Fi"
tt4154664,Captain Marvel,Walt Disney Studios Motion Pictures,"$160,000,000",PG-13,2 hr 3 min,"Action, Adventure, Sci-Fi"
tt1399103,Transformers: Dark of the Moon,DreamWorks,"$195,000,000",PG-13,2 hr 34 min,"Action, Adventure, Sci-Fi"
tt1074638,Skyfall,Sony Pictures Releasing,"$200,000,000",PG-13,2 hr 23 min,"Action, Adventure, Thriller"
tt2109248,Transformers: Age of Extinction,Paramount Pictures,"$210,000,000",PG-13,2 hr 45 min,"Action, Adventure, Sci-Fi"
tt1345836,The Dark Knight Rises,Warner Bros.,"$250,000,000",PG-13,2 hr 44 min,"Action, Adventure"
tt7286456,Joker,Warner Bros.,"$55,000,000",R,2 hr 2 min,"Crime, Drama, Thriller"
tt2527338,Star Wars: The Rise Of Skywalker,Walt Disney Studios Motion Pictures,"$275,000,000",PG-13,2 hr 22 min,"Action, Adventure, Fantasy, Sci-Fi"
tt1979376,Toy Story 4,Walt Disney Studios Motion Pictures,"$200,000,000",G,1 hr 40 min,"Adventure, Animation, Comedy, Family, Fantasy"
tt0435761,Toy Story 3,Walt Disney Studios Motion Pictures,"$200,000,000",,1 hr 43 min,"Adventure, Animation, Comedy, Family, Fantasy"
tt0383574,Pirates of the Caribbean: Dead Man's Chest,Walt Disney Studios Motion Pictures,"$225,000,000",PG-13,2 hr 31 min,"Action, Adventure, Fantasy"
tt3748528,Rogue One: A Star Wars Story,Walt Disney Studios Motion Pictures,"$200,000,000",PG-13,2 hr 13 min,"Action, Adventure, Sci-Fi"
tt6139732,Aladdin,Walt Disney Studios Motion Pictures,"$183,000,000",PG,2 hr 8 min,"Adventure, Family, Fantasy, Musical, Romance"
tt1298650,Pirates of the Caribbean: On Stranger Tides,Walt Disney Studios Motion Pictures,"$250,000,000",PG-13,2 hr 17 min,"Action, Adventure, Fantasy"
tt3469046,Despicable Me 3,Universal Pictures,"$80,000,000",PG,1 hr 29 min,"Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi"
tt0107290,Jurassic Park,Universal Pictures,"$63,000,000",PG-13,2 hr 7 min,"Action, Adventure, Sci-Fi, Thriller"
tt2277860,Finding Dory,Walt Disney Studios Motion Pictures,,PG,1 hr 37 min,"Adventure, Animation, Comedy, Family"
tt0120915,Star Wars: Episode I - The Phantom Menace,Twentieth Century Fox,"$115,000,000",PG,2 hr 16 min,"Action, Adventure, Fantasy, Sci-Fi"
tt1014759,Alice in Wonderland,Walt Disney Studios Motion Pictures,"$200,000,000",PG,1 hr 48 min,"Adventure, Family, Fantasy"
tt2948356,Zootopia,Walt Disney Studios Motion Pictures,,PG,1 hr 48 min,"Adventure, Animation, Comedy, Crime, Family, Mystery"
tt0903624,The Hobbit: An Unexpected Journey,Warner Bros.,,PG-13,2 hr 49 min,"Adventure, Family, Fantasy"
tt0468569,The Dark Knight,Warner Bros.,"$185,000,000",PG-13,2 hr 32 min,"Action, Crime, Drama, Thriller"
tt0241527,Harry Potter and the Sorcerer's Stone,Warner Bros.,"$125,000,000",PG,2 hr 32 min,"Adventure, Family, Fantasy"
tt0926084,Harry Potter and the Deathly Hallows: Part 1,Warner Bros.,,PG-13,2 hr 26 min,"Adventure, Family, Fantasy, Mystery"
tt1690953,Despicable Me 2,Universal Pictures,"$76,000,000",PG,1 hr 38 min,"Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi"
tt0110357,The Lion King,Walt Disney Studios Motion Pictures,"$45,000,000",G,1 hr 28 min,"Adventure, Animation, Drama, Family, Musical"
tt3040964,The Jungle Book,Walt Disney Studios Motion Pictures,"$175,000,000",PG,1 hr 46 min,"Adventure, Drama, Family, Fantasy"
tt2283362,Jumanji: Welcome to the Jungle,Sony Pictures Releasing,"$90,000,000",PG-13,1 hr 59 min,"Action, Adventure, Comedy, Fantasy"
tt0449088,Pirates of the Caribbean: At World's End,Walt Disney Studios Motion Pictures,"$300,000,000",PG-13,2 hr 49 min,"Action, Adventure, Fantasy"
tt1170358,The Hobbit: The Desolation of Smaug,Warner Bros.,,PG-13,2 hr 41 min,"Adventure, Fantasy"
tt2310332,The Hobbit: The Battle of the Five Armies,Warner Bros.,,PG-13,2 hr 24 min,"Adventure, Fantasy"
tt0167261,The Lord of the Rings: The Two Towers,New Line Cinema,"$94,000,000",PG-13,2 hr 59 min,"Adventure, Drama, Fantasy"
tt0373889,Harry Potter and the Order of the Phoenix,Warner Bros.,"$150,000,000",PG-13,2 hr 18 min,"Action, Adventure, Family, Fantasy, Mystery"
tt0266543,Finding Nemo,Walt Disney Studios Motion Pictures,"$94,000,000",,1 hr 40 min,"Adventure, Animation, Comedy, Family"
tt0417741,Harry Potter and the Half-Blood Prince,Warner Bros.,"$250,000,000",PG,2 hr 33 min,"Action, Adventure, Family, Fantasy, Mystery"
tt0298148,Shrek 2,DreamWorks Distribution,"$150,000,000",PG,1 hr 33 min,"Adventure, Animation, Comedy, Family, Fantasy, Romance"
tt1727824,Bohemian Rhapsody,Twentieth Century Fox,"$52,000,000",PG-13,2 hr 14 min,"Biography, Drama, Music"
tt0330373,Harry Potter and the Goblet of Fire,Warner Bros.,"$150,000,000",PG-13,2 hr 37 min,"Adventure, Family, Fantasy, Mystery"
tt0413300,Spider-Man 3,Sony Pictures Releasing,"$258,000,000",PG-13,2 hr 19 min,"Action, Adventure, Sci-Fi"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,New Line Cinema,"$93,000,000",PG-13,2 hr 58 min,"Action, Adventure, Drama, Fantasy"
tt1080016,Ice Age: Dawn of the Dinosaurs,Twentieth Century Fox,"$90,000,000",PG,1 hr 34 min,"Adventure, Animation, Comedy, Family, Fantasy"
tt2379713,Spectre,Sony Pictures Releasing,"$245,000,000",PG-13,2 hr 28 min,"Action, Adventure, Thriller"
tt2250912,Spider-Man: Homecoming,Sony Pictures Releasing,"$175,000,000",PG-13,2 hr 13 min,"Action, Adventure, Sci-Fi"
tt0295297,Harry Potter and the Chamber of Secrets,Warner Bros.,"$100,000,000",PG,2 hr 41 min,"Adventure, Family, Fantasy, Mystery"
tt1667889,Ice Age: Continental Drift,Twentieth Century Fox,"$95,000,000",PG,1 hr 28 min,"Adventure, Animation, Comedy, Drama, Family, Fantasy"
tt2709768,The Secret Life of Pets,Universal Pictures,"$75,000,000",PG,1 hr 27 min,"Adventure, Animation, Comedy, Family"
tt2975590,Batman v Superman: Dawn of Justice,Warner Bros.,"$250,000,000",PG-13,2 hr 31 min,"Action, Adventure, Sci-Fi"
tt7131870,Wolf Warrior 2,The H Collective,"$30,100,000",,2 hr 3 min,"Action, Drama, Thriller, War"
tt0121766,Star Wars: Episode III - Revenge of the Sith,Twentieth Century Fox,"$113,000,000",PG-13,2 hr 20 min,"Action, Adventure, Fantasy, Sci-Fi"
tt1951264,The Hunger Games: Catching Fire,Lionsgate,"$130,000,000",PG-13,2 hr 26 min,"Action, Adventure, Mystery, Sci-Fi, Thriller"
tt3896198,Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,"$200,000,000",PG-13,2 hr 16 min,"Action, Adventure, Comedy, Sci-Fi"
tt2096673,Inside Out,Walt Disney Studios Motion Pictures,"$175,000,000",PG,1 hr 35 min,"Adventure, Animation, Comedy, Drama, Family, Fantasy"
tt1270797,Venom,Sony Pictures Releasing,"$100,000,000",PG-13,1 hr 52 min,"Action, Adventure, Sci-Fi, Thriller"
tt3501632,Thor: Ragnarok,Walt Disney Studios Motion Pictures,"$180,000,000",PG-13,2 hr 10 min,"Action, Adventure, Comedy, Fantasy, Sci-Fi"
tt1055369,Transformers: Revenge of the Fallen,DreamWorks,"$200,000,000",PG-13,2 hr 29 min,"Action, Adventure, Sci-Fi"
tt1375666,Inception,Warner Bros.,"$160,000,000",PG-13,2 hr 28 min,"Action, Adventure, Sci-Fi, Thriller"
tt1673434,The Twilight Saga: Breaking Dawn - Part 2,Lionsgate,"$120,000,000",PG-13,1 hr 55 min,"Adventure, Drama, Fantasy, Romance"
tt0145487,Spider-Man,Sony Pictures Releasing,"$139,000,000",PG-13,2 hr 1 min,"Action, Adventure, Sci-Fi"
tt0451279,Wonder Woman,Warner Bros.,"$149,000,000",PG-13,2 hr 21 min,"Action, Adventure, Fantasy, Sci-Fi, War"
tt0116629,Independence Day,Twentieth Century Fox,"$75,000,000",PG-13,2 hr 25 min,"Action, Adventure, Sci-Fi"
tt3183660,Fantastic Beasts and Where to Find Them,Warner Bros.,"$180,000,000",PG-13,2 hr 12 min,"Adventure, Family, Fantasy"
tt0413267,Shrek the Third,DreamWorks,"$160,000,000",PG,1 hr 33 min,"Adventure, Animation, Comedy, Family, Fantasy"
tt2380307,Coco,Walt Disney Studios Motion Pictures,,PG,1 hr 45 min,"Adventure, Animation, Family, Fantasy, Music, Mystery"
tt7975244,Jumanji: The Next Level,Sony Pictures Releasing,"$125,000,000",PG-13,2 hr 3 min,"Action, Adventure, Comedy, Fantasy"
tt0304141,Harry Potter and the Prisoner of Azkaban,Warner Bros.,"$130,000,000",PG,2 hr 22 min,"Adventure, Family, Fantasy, Mystery"
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,Walt Disney Studios Motion Pictures,"$230,000,000",PG-13,2 hr 9 min,"Action, Adventure, Fantasy"
tt0083866,E.T. the Extra-Terrestrial,Universal Pictures,"$10,500,000",PG,1 hr 55 min,"Family, Sci-Fi"
tt1190080,2012,Sony Pictures Releasing,"$200,000,000",PG-13,2 hr 38 min,"Action, Adventure, Sci-Fi"
tt4912910,Mission: Impossible - Fallout,Paramount Pictures,"$178,000,000",PG-13,2 hr 27 min,"Action, Adventure, Thriller"
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,Paramount Pictures,"$185,000,000",PG-13,2 hr 2 min,"Action, Adventure"
tt0316654,Spider-Man 2,Sony Pictures Releasing,"$200,000,000",PG-13,2 hr 7 min,"Action, Adventure, Sci-Fi"
tt1905041,Fast & Furious 6,Universal Pictures,"$160,000,000",PG-13,2 hr 10 min,"Action, Adventure, Thriller"
tt5463162,Deadpool 2,Twentieth Century Fox,"$110,000,000",R,1 hr 59 min,"Action, Adventure, Comedy, Sci-Fi"
